iter	Logloss
0	0.6596935108
1	0.6258115124
2	0.5979621502
3	0.568141313
4	0.5459548747
5	0.5248290703
6	0.5067607015
7	0.4892709884
8	0.4710689105
9	0.4568049021
10	0.4440772894
11	0.4319516528
12	0.4200478979
13	0.4105370514
14	0.4022948526
15	0.3921263401
16	0.3847176468
17	0.3780281749
18	0.3715675692
19	0.3660466253
20	0.3604551578
21	0.3552804494
22	0.3498967863
23	0.3461858719
24	0.3428789996
25	0.3394105427
26	0.3362699503
27	0.3335408381
28	0.3298015184
29	0.3271405247
30	0.3252363409
31	0.3221621306
32	0.3199929694
33	0.3182706176
34	0.3159427181
35	0.3135611515
36	0.3123068167
37	0.3107796692
38	0.3088393916
39	0.3070139066
40	0.306028209
41	0.3049425063
42	0.3040209106
43	0.3027686463
44	0.3018735375
45	0.3006516663
46	0.2997094773
47	0.2988417777
48	0.2981769738
49	0.297354856
50	0.2964036614
51	0.2957767923
52	0.2949659824
53	0.2944568977
54	0.293947087
55	0.2933901291
56	0.2925277522
57	0.2918035829
58	0.2912993072
59	0.2909541428
60	0.2904724182
61	0.2898845598
62	0.2891047538
63	0.2885195625
64	0.2882055648
65	0.2879153817
66	0.2874555457
67	0.2870521709
68	0.2865302658
69	0.2861570828
70	0.2858351981
71	0.2855271632
72	0.2852596446
73	0.2849833521
74	0.2846224989
75	0.2842354598
76	0.2839084336
77	0.2836388822
78	0.2832617117
79	0.2830204444
80	0.2826673193
81	0.2824619637
82	0.2821581028
83	0.2818939732
84	0.2816224953
85	0.2814183064
86	0.2813157976
87	0.2810834536
88	0.280892407
89	0.2806534416
90	0.2804301834
91	0.2801269024
92	0.2798571934
93	0.2795790913
94	0.2795347581
95	0.2793507496
96	0.2791886097
97	0.2790361767
98	0.278795949
99	0.2786029148
100	0.2784372059
101	0.2783097332
102	0.2781576908
103	0.277996911
104	0.2778426993
105	0.2777612767
106	0.2776233074
107	0.2774467771
108	0.2772888519
109	0.277115313
110	0.2769553292
111	0.2768125894
112	0.276659385
113	0.2765483061
114	0.2763242333
115	0.2762572208
116	0.2761836981
117	0.2760899646
118	0.2760183202
119	0.2758867291
120	0.2757079697
121	0.2756463185
122	0.2755463915
123	0.2754743302
124	0.2753537888
125	0.2751777218
126	0.2750798295
127	0.2749465908
128	0.2747986948
129	0.2746985853
130	0.274551106
131	0.2744334554
132	0.2742951287
133	0.2741489049
134	0.2740249875
135	0.2739385817
136	0.2737998399
137	0.2736918848
138	0.2736087963
139	0.2735176674
140	0.273399231
141	0.2732973561
142	0.2731430126
143	0.2730451798
144	0.2729091723
145	0.2728076838
146	0.2727132406
147	0.2726844968
148	0.2725991076
149	0.272560351
150	0.2724460029
151	0.2723802664
152	0.2722711689
153	0.2722272194
154	0.2720912342
155	0.2720330616
156	0.2719134475
157	0.2718177387
158	0.2717194873
159	0.2716132257
160	0.2714824524
161	0.2713631073
162	0.2712637407
163	0.2711828522
164	0.2710639571
165	0.2709810403
166	0.2709111744
167	0.2708138318
168	0.2707267108
169	0.270624355
170	0.2705525292
