iter	Passed	Remaining
0	14	14977
1	26	13104
2	36	12192
3	53	13200
4	66	13267
5	89	14745
6	98	14015
7	108	13491
8	118	13039
9	131	12983
10	142	12769
11	153	12650
12	166	12671
13	188	13304
14	202	13274
15	215	13225
16	235	13593
17	247	13494
18	258	13352
19	272	13364
20	288	13467
21	311	13857
22	343	14570
23	365	14854
24	380	14828
25	409	15342
26	444	16030
27	471	16368
28	492	16497
29	507	16416
30	523	16358
31	538	16299
32	551	16163
33	574	16318
34	588	16230
35	606	16242
36	622	16206
37	647	16404
38	680	16762
39	708	16995
40	721	16873
41	733	16721
42	748	16651
43	763	16596
44	774	16438
45	797	16535
46	822	16678
47	837	16615
48	854	16593
49	870	16544
50	885	16483
51	900	16409
52	915	16357
53	930	16297
54	944	16231
55	955	16104
56	969	16034
57	983	15981
58	997	15913
59	1011	15847
60	1029	15845
61	1043	15792
62	1067	15877
63	1084	15866
64	1099	15821
65	1114	15772
66	1129	15725
67	1146	15707
68	1160	15653
69	1173	15595
70	1188	15549
71	1207	15560
72	1221	15514
73	1232	15426
74	1247	15381
75	1261	15334
76	1275	15294
77	1289	15241
78	1321	15411
79	1338	15393
80	1348	15298
81	1362	15250
82	1376	15211
83	1390	15164
84	1403	15110
85	1421	15109
86	1435	15066
87	1445	14983
88	1459	14936
89	1473	14895
90	1487	14857
91	1506	14872
92	1525	14876
93	1540	14850
94	1560	14867
95	1573	14821
96	1585	14764
97	1603	14761
98	1615	14702
99	1626	14636
100	1638	14585
101	1655	14577
102	1671	14555
103	1690	14563
104	1715	14622
105	1737	14651
106	1754	14639
107	1783	14728
108	1834	14998
109	1853	15000
110	1866	14951
111	1880	14906
112	1895	14880
113	1912	14861
114	1936	14902
115	1955	14898
116	1984	14979
117	2001	14958
118	2031	15039
119	2064	15137
120	2081	15121
121	2097	15092
122	2113	15069
123	2127	15030
124	2145	15019
125	2163	15006
126	2187	15036
127	2213	15076
128	2229	15051
129	2246	15035
130	2267	15043
131	2288	15049
132	2321	15134
133	2339	15116
134	2353	15077
135	2372	15070
136	2387	15036
137	2417	15101
138	2436	15092
139	2456	15088
140	2474	15073
141	2493	15064
142	2512	15060
143	2530	15042
144	2561	15104
145	2585	15124
146	2607	15133
147	2632	15152
148	2651	15141
149	2668	15123
